ID,mean.IeP
AL1,5.61140484897512
AL3,5.75389405174576
AL4,5.60465063756533
CH1,5.79978097781773
CH2,5.65557047512493
CH3,5.92013976113552
SG1,5.80928088567485
SG2,5.87174292671785
SG3,5.99357596974087
SG4,5.77681329690969
SG5,5.75831653914153
SGT1,6.09469160453272
SGT2,5.80479540975275
SGT3,5.76252074552167
YG1,5.62241041123098
YG2,5.94332890389842
YG3,5.76314315234705
